,CustomerKey,Customer,StateName,Country,Region,Market,BusinessType
0,56,Joseph Holt,New South Wales,Australia,Oceania,APAC,Consumer
1,57,Eugene Moren,Stockholm,Sweden,North,EU,Home Office
2,58,Annie Thurman,Budapest,Hungary,EMEA,EMEA,Consumer
3,59,Toby Braunhardt,Constantine,Algeria,Africa,Africa,Consumer
4,60,Nat Gilpin,Razavi Khorasan,Iran,EMEA,EMEA,Corporate
5,61,Jas O'Carroll,Yazd,Iran,EMEA,EMEA,Consumer
6,62,Larry Blacks,National Capital,Philippines,Southeast Asia,APAC,Consumer
7,63,Dorothy Dickinson,England,United Kingdom,North,EU,Consumer
8,64,Ken Lonsdale,Auckland,New Zealand,Oceania,APAC,Consumer
9,65,Kean Nguyen,New South Wales,Australia,Oceania,APAC,Corporate
10,66,Lindsay Williams,Ninawa,Iraq,EMEA,EMEA,Corporate
11,67,Chris McAfee,Nakhon Ratchasima,Thailand,Southeast Asia,APAC,Consumer
12,68,Jack Garza,Dar Es Salaam,Tanzania,Africa,Africa,Consumer
13,69,Jasper Cacioppo,Khartoum,Sudan,Africa,Africa,Consumer
14,70,Arthur Prichep,Rhône-Alpes,France,Central,EU,Consumer
15,71,Grant Thornton,England,United Kingdom,North,EU,Corporate
16,72,Russell Applegate,Parana,Brazil,South,LATAM,Consumer
17,73,Darren Powers,Texas,United States,Central,US,Consumer
18,74,Arthur Wiediger,Santiago de Cuba,Cuba,Caribbean,LATAM,Home Office
19,75,Michael Granlund,Rhône-Alpes,France,Central,EU,Home Office
20,76,Phillina Ober,Illinois,United States,Central,US,Home Office
21,77,Jennifer Halladay,Veracruz,Mexico,North,LATAM,Consumer
22,78,Shaun Weien,Taipei City,Taiwan,North Asia,APAC,Consumer
23,79,Shahid Hopkins,Ile-de-France,France,Central,EU,Consumer
24,80,Mick Brown,Pennsylvania,United States,East,US,Consumer
25,81,Robert Dilbeck,Ho Chí Minh City,Vietnam,Southeast Asia,APAC,Home Office
26,82,Brosina Hoffman,Sumatera Barat,Indonesia,Southeast Asia,APAC,Consumer
27,83,Harry Marie,Beirut,Lebanon,EMEA,EMEA,Corporate
28,84,Maribeth Schnelling,National Capital,Philippines,Southeast Asia,APAC,Consumer
29,85,Dave Poirier,Provence-Alpes-Côte d'Azur,France,Central,EU,Corporate
30,86,Jack O'Briant,Georgia,United States,South,US,Corporate
31,87,Stewart Visinsky,Niassa,Mozambique,Africa,Africa,Consumer
32,88,Maria Etezadi,Kentucky,United States,South,US,Home Office
33,89,Dorothy Dickinson,São Paulo,Brazil,South,LATAM,Consumer
34,90,Joy Smith,Groningen,Netherlands,Central,EU,Consumer
35,91,Alyssa Crouse,Alger,Algeria,Africa,Africa,Corporate
36,92,Lycoris Saunders,California,United States,West,US,Consumer
37,93,Vivek Sundaresam,Texas,United States,Central,US,Consumer
38,94,Joe Elijah,Lagos,Nigeria,Africa,Africa,Consumer
39,95,Darren Powers,Midi-Pyrénées,France,Central,EU,Consumer
40,96,Henia Zydlo,Benguela,Angola,Africa,Africa,Consumer
41,97,Christopher Martinez,Guatemala,Guatemala,Central,LATAM,Consumer
